2023-03-08 22:42:47,378 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Configure stats pid to 84172
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Loading settings from /Users/Thoma/.config/wandb/settings
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Loading settings from /Users/Thoma/Documents/Github/CME216-Machine-Learning/wandb/settings
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cme216_hw6', 'entity': 'tsounack', 'root_dir': '/Users/Thoma/Documents/Github/CME216-Machine-Learning', 'run_id': 'l2dcqi0k', 'sweep_param_path': '/Users/Thoma/Documents/Github/CME216-Machine-Learning/wandb/sweep-i5jyvg4j/config-l2dcqi0k.yaml', 'sweep_id': 'i5jyvg4j'}
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'HW6/hw6.py', 'program': '/Users/Thoma/Documents/Github/CME216-Machine-Learning/HW6/hw6.py'}
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:_log_setup():506] Logging user logs to /Users/Thoma/Documents/Github/CME216-Machine-Learning/wandb/run-20230308_224247-l2dcqi0k/logs/debug.log
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/Thoma/Documents/Github/CME216-Machine-Learning/wandb/run-20230308_224247-l2dcqi0k/logs/debug-internal.log
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():546] calling init triggers
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():552] wandb.init called with sweep_config: {'batch_size': 1024, 'dim': 64, 'h_dim': 128, 'lr': 0.001}
config: {}
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():602] starting backend
2023-03-08 22:42:47,379 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():606] setting up manager
2023-03-08 22:42:47,382 INFO    Thread-24 (_run_job):84172 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-08 22:42:47,384 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():613] backend started and connected
2023-03-08 22:42:47,388 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_config_callback():1249] config_cb None None {'batch_size': 1024, 'dim': 64, 'h_dim': 128, 'lr': 0.001}
2023-03-08 22:42:47,390 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():701] updated telemetry
2023-03-08 22:42:47,412 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-08 22:42:47,864 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_on_init():2131] communicating current version
2023-03-08 22:42:48,152 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_on_init():2140] got version response 
2023-03-08 22:42:48,152 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():789] starting run threads in backend
2023-03-08 22:42:49,455 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_console_start():2112] atexit reg
2023-03-08 22:42:49,456 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-08 22:42:49,456 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-08 22:42:49,456 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-08 22:42:49,456 INFO    Thread-24 (_run_job):84172 [wandb_init.py:init():831] run started, returning control to user process
2023-03-08 22:49:28,392 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_finish():1852] finishing run tsounack/cme216_hw6/l2dcqi0k
2023-03-08 22:49:28,393 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-08 22:49:28,393 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_restore():2064] restore
2023-03-08 22:49:28,393 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_restore():2070] restore done
2023-03-08 22:49:37,261 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2023-03-08 22:49:37,262 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2023-03-08 22:49:37,264 INFO    Thread-24 (_run_job):84172 [wandb_run.py:_footer_sync_info():3387] logging synced files
